,0,1,2,3,4,5,6,7,8,9
region,0.0012104720415219287,0.0273509735690094,-0.008672712486125184,-0.16744683513674727,-0.0014322435339024675,-0.044419610858621277,-0.7333341096735257,-0.6282802321855955,-0.1129508143212446,-0.03715762618042338
tenure,0.26277310194473646,0.6076532917213402,0.5070640979731695,0.2501834342641314,-0.08087681541739035,-0.13238794089091122,-0.0751486180459008,0.03425236165016716,-0.17478676120493983,-0.08451963207162433
age,0.18596680013948053,0.6314985859948754,0.4357266894446485,-0.23348792150789718,0.0938052284063479,0.23727274770043844,0.14471347867928197,-0.1349847884735046,0.16203392386834942,0.05467643415512523
marital,0.0808973355263608,0.020865020604706692,0.0026876815805529034,0.82554205738019,0.16926715950530424,0.2584093244468993,0.05360943964270339,-0.1739701961625573,0.10592849488287207,0.07637739074404999
address,0.15760086135193435,0.577233386789784,0.4313543797463923,-0.1274851341484434,-0.04024935239252861,0.1428837597351895,0.09794653117638764,-0.08528169272395165,0.004638603284425912,0.02201249514132826
income,0.28998586237910884,0.30904789203375277,0.2809462218067013,-0.15445430609878055,0.7456783017942578,-0.17571576648861478,0.004743706813191873,0.019203904403899196,0.05722719905248508,0.07267081878073614
ed,0.25551369280239483,-0.519034292607006,0.2825950405095966,-0.022666673066517474,0.1578666309197874,-0.0528894618554886,0.07811025469411831,0.1409599650588553,-0.19045299768810187,0.050996587230090616
employ,0.22665398294371805,0.6592835845034318,0.3449667602518099,-0.1358011743737751,0.37872087844103147,0.10101711589755716,0.03819405926015395,-0.06348647094575441,0.11195528753848864,0.057222405858880214
retire,0.04817057482105239,0.3479205959881183,0.1775841641303451,-0.21749699638890188,-0.4305582795243046,0.6262762659204113,0.1021785551391892,-0.06914258949234922,0.08101222842172175,-0.002795896739455247
gender,-0.004849371895051393,0.011800557765025484,0.047036659147861586,0.0028150712193510123,0.13373491337586868,0.39842336839266485,-0.6475088154759624,0.6154547171609299,0.06531335482740912,0.06477259099481153
reside,0.04259308966259393,-0.14826961177563183,-0.16974915530843765,0.8172240112293274,0.1633236391785613,0.22221152928441035,-0.009543368024080484,-0.14367509035950343,0.07551305304219444,0.04228130594634634
tollfree,0.7104769827943227,0.16497693949021938,-0.38725846786184814,-0.07933455903939617,0.017166085699788527,0.0713324736344854,0.010433856421126078,-0.046923452786141955,-0.16295732241510236,0.15211646421701516
equip,0.30006107646789637,-0.680295582543771,0.41435598883691327,-0.04831416668370007,-0.0585721613545601,0.046654042114190546,0.021924500675954056,-0.06005552372358057,-0.009229843227045216,0.3351355234560698
callcard,0.5307338886625779,0.40831581185276233,0.07591934798560157,0.1506552356590312,-0.2699390048619018,-0.3523054967053657,-0.13976388361405312,0.10720660058701106,0.2867554434222722,0.19326957560898633
wireless,0.7639976747508198,-0.33471058816277693,0.05821079326575005,-0.04801810902385155,-0.00436012148326329,0.03371451126323909,-0.007595172549651136,-0.013628909642371699,0.23057581552722356,-0.3298030760375672
longmon,0.24550637292495683,0.5681237846648716,0.4680607675808748,0.23281660276688335,-0.14877125370569416,-0.05712293648187202,-0.03954336465171911,0.022024528653344557,-0.22091146575305748,-0.07356660062057464
tollmon,0.7412822546100338,0.27651996473428136,-0.28231530674571886,-0.01874834822056752,0.02530411258638984,0.0868070690396979,-0.0012693165346971205,-0.0397946637099256,-0.15668475067543258,0.04075694148219689
equipmon,0.46301651080709405,-0.6424465909378593,0.4102516761254441,-0.0323463131519079,-0.06971172293510558,0.03354617495677839,0.008172838744954069,-0.04827375472519655,0.022169163534298396,0.24131268017511243
cardmon,0.48445516964019153,0.4055310146447347,0.14189760821808312,0.20997247831701565,-0.29939290674401203,-0.34279728445441593,-0.10687124667753102,0.07399716305942149,0.3344484735229014,0.15630200845132752
wiremon,0.8035158045263151,-0.2890420828189594,0.11588915008679906,-0.021221836390970906,0.006548227887192465,0.038001532103685655,-0.0280089368077762,-0.023211079490906984,0.19570460594419842,-0.34358079060808755
multline,0.32063345565476137,-0.07067212274824909,0.5617971952777112,0.23315054577167654,-0.09654041576155263,-0.04893851371531345,-0.020140603870616697,0.1169836624979836,-0.49050784988512214,-0.21143401256797775
voice,0.6678822508409169,-0.30931877130811497,0.03938634042578475,-0.021539746229488118,0.0262538372056249,0.0024073415299439246,-0.01634538073995679,0.048744379994583226,0.15914007460043875,-0.22260789673390455
pager,0.6928126011919936,-0.32662429919586927,0.02416011977894696,-0.026064586807964377,0.05942793593278188,0.016766017182719774,0.022388625294744755,-0.06678960625480515,0.1351412253575135,-0.2536340114568316
internet,0.29475617931942655,-0.6140461031298,0.35192066921836646,-0.020641987549040782,-0.011098429439442156,0.03519574398050639,-0.019842106157432933,-0.027222454731925867,0.00968173430994026,0.21034457077743973
callid,0.7073486083465358,0.13047259634793468,-0.37632560489683015,-0.05978039860277089,0.04543864223743798,0.04015185570123206,0.0017748312314433833,0.0076994535327554086,-0.05324735457719179,0.12115428489398436
callwait,0.7023398530771822,0.16044431572693185,-0.38004803714259,-0.04554070389983254,-0.0009135810570862901,0.03761180484645322,0.03326643465636706,-0.008268624719850898,-0.14769923166169235,0.0845048039195755
forward,0.7044625955234277,0.13703772243068693,-0.3506379890119723,-0.0320383584615318,-0.02233749387367928,0.017438519782561293,0.027296852464164374,-0.027065721653055565,-0.0812859448166282,0.12895774252737227
confer,0.6909283854116126,0.17392781895705012,-0.3090659616314488,-0.07986180034279207,0.0046187310385054,0.03227688314821772,0.04319427471629698,0.06537658706038076,-0.08685068336044688,0.06936675879154848
ebill,0.21528734408928282,-0.603390839841802,0.3606238849343344,-0.10877954298647992,-0.02555865598764662,0.04117755265452866,-0.007912381944742584,-0.11177099075502275,0.008350529879766031,0.1396373353803754
custcat,0.883109030600413,-0.030743606399704457,-0.13328878144233555,0.047650891502178126,-0.031312582561762246,0.012697214289660625,0.021694346164100542,0.052412364554171136,-0.17105592966411523,-0.014105795071347498
