,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,1000,47,701,252,47,285,433,235,220,266,206,261,47,50,240,209,202,252,47,49,163,236,204,137,47,164,87,160,200,174,122,47,166,44
Seg_Pct,100%,5%,70%,25%,5%,29%,43%,24%,22%,27%,21%,26%,5%,5%,24%,21%,20%,25%,5%,5%,16%,24%,20%,14%,5%,16%,9%,16%,20%,17%,12%,5%,17%,4%
tenure,35.53,51.98,34.15,36.29,51.98,45.22,27.26,35.71,35.44,44.79,29.08,28.28,51.98,50.12,36.61,34.69,28.77,34.63,51.98,50.73,46.45,32.62,34.62,22.77,51.98,31.37,17.98,31.62,34.72,26.98,36.98,51.98,48.37,51.84
age,41.65,65.13,40.37,40.82,65.13,41.81,39.46,40.78,40.49,42.75,38.30,39.91,65.13,55.30,41.84,39.51,37.84,39.19,65.13,55.43,41.24,40.32,39.52,36.38,65.13,40.14,36.15,40.17,39.66,39.30,39.39,65.13,42.13,55.52
marital,0.50,0.32,0.48,0.57,0.32,0.56,0.44,0.55,0.55,0.69,0.44,0.32,0.32,0.38,0.53,0.56,0.45,0.51,0.32,0.37,0.99,0.00,0.55,0.18,0.32,1.00,0.31,1.00,0.56,0.00,0.55,0.32,0.58,0.39
address,11.52,24.19,10.91,10.85,24.19,12.67,9.79,10.77,10.52,12.99,9.36,10.28,24.19,18.24,11.70,9.99,9.25,10.74,24.19,18.51,12.55,11.20,9.99,8.13,24.19,9.97,7.79,10.13,10.10,9.92,10.30,24.19,13.43,19.39
income,73.79,37.59,68.54,95.13,37.59,75.76,63.66,97.29,91.54,87.25,64.75,58.76,37.59,338.32,55.66,73.07,58.75,57.95,37.59,339.83,67.10,56.58,73.21,54.34,37.59,53.03,57.39,52.49,74.72,58.49,62.28,37.59,62.90,351.47
ed,2.67,2.04,2.45,3.40,2.04,2.81,2.25,3.40,3.41,2.36,3.21,2.05,2.04,2.78,2.06,3.42,3.21,2.30,2.04,2.80,2.84,2.15,3.44,3.15,2.04,2.04,3.01,2.00,3.43,2.07,3.36,2.04,2.48,2.86
employ,10.95,23.21,10.31,10.45,23.21,11.04,9.74,10.62,10.18,12.55,7.81,10.24,23.21,28.82,10.93,8.99,7.40,9.62,23.21,28.82,10.48,10.25,8.98,6.69,23.21,9.59,5.97,9.71,9.20,10.13,8.59,23.21,11.22,28.98
retire,0.05,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
gender,0.52,0.64,0.51,0.50,0.64,0.53,0.49,0.51,0.51,0.50,0.50,0.53,0.64,0.62,0.00,0.50,0.50,1.00,0.64,0.61,0.50,0.52,0.50,0.47,0.64,0.53,0.44,0.52,0.50,0.51,0.55,0.64,0.51,0.61
reside,2.32,1.43,2.32,2.51,1.43,2.43,2.24,2.54,2.54,2.61,2.27,2.05,1.43,1.72,2.34,2.59,2.30,2.40,1.43,1.71,3.18,1.42,2.58,1.86,1.43,3.27,2.02,3.25,2.60,1.45,2.49,1.43,2.45,1.75
tollfree,47%,57%,35%,79%,57%,30%,39%,81%,83%,51%,17%,36%,57%,64%,45%,83%,17%,40%,57%,65%,30%,43%,82%,20%,57%,41%,17%,42%,84%,48%,18%,57%,38%,68%
equip,39%,15%,27%,76%,15%,41%,19%,77%,77%,17%,67%,10%,15%,26%,12%,78%,66%,16%,15%,27%,45%,12%,78%,66%,15%,8%,59%,8%,78%,10%,73%,15%,25%,27%
callcard,68%,87%,60%,85%,87%,66%,56%,87%,88%,77%,43%,57%,87%,88%,70%,87%,43%,62%,87%,90%,69%,65%,87%,36%,87%,61%,32%,61%,87%,61%,53%,87%,76%,93%
wireless,30%,21%,8%,90%,21%,11%,8%,93%,95%,12%,16%,5%,21%,34%,9%,95%,15%,7%,21%,35%,11%,8%,97%,17%,21%,7%,15%,6%,96%,8%,19%,21%,11%,39%
longmon,11.56,22.42,10.80,11.66,22.42,14.61,8.46,11.41,11.28,14.66,9.13,8.60,22.42,17.43,11.92,10.92,9.07,10.54,22.42,17.59,15.64,10.01,10.92,7.16,22.42,9.29,6.21,9.36,10.87,8.46,11.35,22.42,15.85,18.31
tollmon,13.07,19.69,8.89,23.46,19.69,7.99,9.67,24.16,24.64,14.06,3.46,8.69,19.69,20.60,11.44,24.41,3.47,10.17,19.69,21.02,8.14,10.70,24.30,4.10,19.69,10.61,3.26,10.78,24.67,11.56,4.10,19.69,10.31,22.16
equipmon,14.17,6.23,7.92,33.02,6.23,12.73,5.27,33.90,34.16,5.42,20.37,2.77,6.23,10.51,3.59,34.57,20.29,4.62,6.23,10.72,14.53,3.48,34.96,19.49,6.23,2.16,16.43,2.22,34.82,2.72,23.70,6.23,7.59,11.40
cardmon,13.63,20.38,11.52,18.22,20.38,13.31,10.40,18.61,18.80,15.82,7.05,11.01,20.38,18.57,14.29,18.56,7.09,11.92,20.38,18.95,15.45,11.86,18.60,5.10,20.38,11.79,4.43,11.79,18.58,11.83,9.37,20.38,15.71,19.86
wiremon,11.40,9.16,2.19,37.45,9.16,3.25,2.02,39.04,40.17,3.58,4.10,1.29,9.16,13.77,2.44,40.31,3.95,1.89,9.16,14.05,3.44,2.15,41.08,4.09,9.16,1.68,3.57,1.55,40.81,2.10,5.32,9.16,3.30,15.64
multline,48%,53%,38%,72%,53%,100%,0%,70%,72%,68%,53%,0%,53%,48%,33%,74%,54%,33%,53%,49%,100%,28%,73%,36%,53%,0%,0%,0%,73%,0%,94%,53%,100%,52%
voice,30%,19%,14%,79%,19%,17%,13%,81%,82%,18%,23%,8%,19%,40%,11%,83%,23%,12%,19%,41%,17%,11%,84%,24%,19%,10%,20%,11%,84%,11%,28%,19%,13%,43%
pager,26%,15%,4%,90%,15%,4%,6%,91%,95%,7%,8%,4%,15%,40%,5%,94%,8%,4%,15%,41%,6%,4%,95%,9%,15%,5%,11%,6%,97%,5%,5%,15%,5%,41%
internet,37%,11%,26%,73%,11%,39%,19%,73%,75%,18%,62%,9%,11%,22%,10%,76%,63%,17%,11%,22%,43%,13%,77%,56%,11%,11%,54%,9%,78%,9%,70%,11%,21%,23%
callid,48%,55%,36%,81%,55%,28%,41%,84%,86%,52%,17%,35%,55%,72%,45%,86%,17%,39%,55%,73%,29%,42%,86%,20%,55%,44%,14%,44%,87%,48%,20%,55%,34%,80%
callwait,49%,60%,36%,80%,60%,32%,40%,82%,84%,56%,16%,35%,60%,68%,46%,85%,16%,40%,60%,67%,33%,46%,85%,18%,60%,40%,14%,41%,85%,49%,20%,60%,41%,70%
forward,49%,57%,37%,83%,57%,30%,42%,85%,86%,53%,20%,35%,57%,74%,48%,86%,20%,38%,57%,76%,32%,42%,86%,22%,57%,45%,17%,45%,87%,48%,23%,57%,36%,80%
confer,50%,64%,38%,81%,64%,33%,42%,83%,85%,57%,21%,34%,64%,76%,48%,84%,20%,41%,64%,78%,34%,44%,84%,24%,64%,43%,21%,43%,85%,48%,21%,64%,42%,82%
ebill,37%,19%,27%,69%,19%,38%,20%,71%,70%,0%,100%,0%,19%,18%,0%,72%,100%,0%,19%,18%,39%,0%,73%,100%,19%,2%,100%,0%,73%,0%,100%,19%,0%,16%
,,,,,,,,,premium,,,Least usage across products,call,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,usage is high across products,multi line users,internet users,,long distance calls,,,,,,,,,,,,,,,,,,,,,
